Date,^GSPC
12/31/2025,6845.5
1/2/2026,6858.470215
1/5/2026,6902.049805
1/6/2026,6944.819824
1/7/2026,6920.930176
1/8/2026,6921.459961
1/9/2026,6966.279785
1/12/2026,6977.27002
1/13/2026,6963.740234
1/14/2026,6926.600098
1/15/2026,6944.470215
1/16/2026,6940.009766
1/20/2026,6796.859863
1/21/2026,6875.620117
1/22/2026,6913.350098
1/23/2026,6915.609863
1/26/2026,6950.22998
1/27/2026,6978.600098
1/28/2026,6978.029785
1/29/2026,6969.009766
1/30/2026,6939.029785
2/2/2026,6976.439941
2/3/2026,6917.810059
2/4/2026,6882.720215
2/5/2026,6798.399902
2/6/2026,6932.299805
2/9/2026,6964.819824
2/10/2026,6941.810059
2/11/2026,6941.470215
2/12/2026,6832.759766
2/13/2026,6836.169922
2/17/2026,6843.220215
2/18/2026,6881.310059
2/19/2026,6861.890137
2/20/2026,6909.509766
2/23/2026,6837.75
2/24/2026,6890.069824
2/25/2026,6946.129883
2/26/2026,6908.859863
2/27/2026,6878.879883
3/2/2026,6881.620117
3/3/2026,6816.629883
3/4/2026,6869.5
3/5/2026,6830.709961
3/6/2026,6740.02002
3/9/2026,6795.990234
3/10/2026,6781.47998
3/11/2026,6775.799805
3/12/2026,6672.620117
3/13/2026,6632.189941
3/16/2026,6699.379883
3/17/2026,6716.089844
3/18/2026,6624.700195
3/19/2026,6606.490234
3/20/2026,6506.47998
3/23/2026,6581
3/24/2026,6556.370117
3/25/2026,6591.899902
3/26/2026,6477.160156
3/27/2026,6368.850098
3/30/2026,6343.720215
3/31/2026,6528.52002
4/1/2026,6575.319824
4/2/2026,6582.689941
4/6/2026,6611.830078
4/7/2026,6616.850098
4/8/2026,6782.810059
4/9/2026,6824.660156
4/10/2026,6816.890137
